"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"21",-0.033328776,-0.023731724,-0.035542443,0.0022136664,0.0000000000,-0.019327405,0.00,1.00,1.00,0.0011580371
"22",-0.032035243,-0.030190749,-0.023203046,-0.008832197,0.0244584846,-0.018942851,1.00,1.00,1.00,0.0041071059
"23",-0.011825943,-0.036003871,-0.002993746,-0.008832197,0.0237514768,-0.004983380,1.00,1.00,1.00,0.0042278819
"24",0.0000765869,-0.036419789,0.0040928921,-0.004016305,0.0000000000,0.0034367006,0.00,1.00,1.00,0.0038504289
"25",-0.014729141,-0.030176401,-0.017330550,0.0026014095,0.0000000000,-0.006319541,0.00,1.00,1.00,0.0009878531
"26",-0.001745378,-0.032211934,0.0033077957,-0.005053174,0.0000000000,0.0016807609,0.00,1.00,1.00,0.0043061743
"27",0.0212954562,-0.027757025,0.0200617405,0.0012337157,0.0000000000,0.0171109475,0.00,1.00,1.00,0.0015760553
"28",0.0474462901,-0.011587421,0.0340523885,0.0133939016,0.0000000000,0.0339717210,0.00,1.00,1.00,0.0002035977
"29",0.0035322523,0.0163430608,-0.023239488,0.0267717398,0.0000000000,0.0034162523,0.00,1.00,1.00,0.0000069930
"30",-0.006915623,0.0174529866,-0.009659855,0.0027442319,0.0000000000,-0.006074789,0.00,1.00,1.00,0.0009578228
"31",-0.023988862,0.0109468944,-0.019228069,-0.004760793,0.0000000000,-0.017416327,0.00,1.00,1.00,0.0041865772
"32",-0.030239710,0.0010200077,-0.021407512,-0.008832197,0.0202783532,-0.020938704,1.00,1.00,1.00,0.0047546718
"33",-0.044139216,-0.007914190,-0.035307019,-0.008832197,0.0274442948,-0.029195779,1.00,1.00,1.00,0.0035983692
"34",-0.051726022,-0.015954969,-0.042893825,-0.008832197,0.0447380941,-0.033390567,1.00,1.00,1.00,0.0010396784
"35",-0.041622550,-0.023191669,-0.032790353,-0.008832197,0.0539435905,-0.025990130,1.00,1.00,1.00,0.0008839819
